id,name,longName,displayName,displayCode,x,y,LaneType,LaneName,LaneShort
20128,선학,선학역 인천1호선,선학역,I128,126.6989247,37.427001,21,인천1호선,인천1
20129,신연수,신연수역 인천1호선,신연수역,I129,126.6940278,37.4180588,21,인천1호선,인천1
20130,원인재,원인재역 인천1호선,원인재역,I130,126.6878251,37.4123326,21,인천1호선,인천1
20131,동춘,동춘역 인천1호선,동춘역,I131,126.680786,37.4047322,21,인천1호선,인천1
20132,동막,동막역 인천1호선,동막역,I132,126.6736029,37.3981396,21,인천1호선,인천1
20133,캠퍼스타운,캠퍼스타운역 인천1호선,캠퍼스타운역,I133,126.6620847,37.3882047,21,인천1호선,인천1
20134,테크노파크,테크노파크역 인천1호선,테크노파크역,I134,126.6561887,37.3820787,21,인천1호선,인천1
20135,지식정보단지,지식정보단지역 인천1호선,지식정보단지역,I135,126.6454262,37.378017,21,인천1호선,인천1
20136,인천대입구,인천대입구역 인천1호선,인천대입구역,I136,126.6394183,37.386209,21,인천1호선,인천1
20137,센트럴파크,센트럴파크역 인천1호선,센트럴파크역,I137,126.6349838,37.3928199,21,인천1호선,인천1
20138,국제업무지구,국제업무지구역 인천1호선,국제업무지구역,I138,126.630119,37.4004344,21,인천1호선,인천1
20210,검단오류(검단산업단지),검단오류(검단산업단지)역 인천2호선,검단오류(검단산업단지)역,I201,126.6280074,37.5948489,22,인천2호선,인천2
20211,왕길,왕길역 인천2호선,왕길역,I202,126.642479,37.5951339,22,인천2호선,인천2
20212,검단사거리,검단사거리역 인천2호선,검단사거리역,I203,126.6566189,37.6017177,22,인천2호선,인천2
20213,마전,마전역 인천2호선,마전역,I204,126.6671363,37.5977134,22,인천2호선,인천2
20214,완정,완정역 인천2호선,완정역,I205,126.6730298,37.592865,22,인천2호선,인천2
20215,독정,독정역 인천2호선,독정역,I206,126.6759863,37.5849123,22,인천2호선,인천2
20216,검암,검암역 인천2호선,검암역,I207,126.6756595,37.5687033,22,인천2호선,인천2
20217,검바위,검바위역 인천2호선,검바위역,I208,126.677519,37.5611734,22,인천2호선,인천2
20218,아시아드경기장(공촌사거리),아시아드경기장(공촌사거리)역 인천2호선,아시아드경기장(공촌사거리)역,I209,126.677103,37.5513036,22,인천2호선,인천2
20219,서구청,서구청역 인천2호선,서구청역,I210,126.6768373,37.5439103,22,인천2호선,인천2
20220,가정(루원시티),가정(루원시티)역 인천2호선,가정(루원시티)역,I211,126.6753548,37.524725,22,인천2호선,인천2
20221,가정중앙시장,가정중앙시장역 인천2호선,가정중앙시장역,I212,126.6768155,37.5174714,22,인천2호선,인천2
20222,석남(거북시장),석남(거북시장)역 인천2호선,석남(거북시장)역,I213,126.6762655,37.5071618,22,인천2호선,인천2
20223,서부여성회관,서부여성회관역 인천2호선,서부여성회관역,I214,126.6758569,37.5003027,22,인천2호선,인천2
20224,인천가좌,인천가좌역 인천2호선,인천가좌역,I215,126.6752463,37.4900531,22,인천2호선,인천2
20225,가재울,가재울역 인천2호선,가재울역,I216,126.6838328,37.4841058,22,인천2호선,인천2
20226,주안국가산단(인천J밸리),주안국가산단(인천J밸리)역 인천2호선,주안국가산단(인천J밸리)역,I217,126.6812163,37.4739745,22,인천2호선,인천2
20227,주안,주안역 인천2호선,주안역,I218,126.6791041,37.4654372,22,인천2호선,인천2
20228,시민공원(문화창작지대),시민공원(문화창작지대)역 인천2호선,시민공원(문화창작지대)역,I219,126.6810909,37.4583909,22,인천2호선,인천2
20229,석바위시장,석바위시장역 인천2호선,석바위시장역,I220,126.6921913,37.4576958,22,인천2호선,인천2
20230,인천시청,인천시청역 인천2호선,인천시청역,I221,126.7011404,37.4568992,22,인천2호선,인천2
20231,석천사거리,석천사거리역 인천2호선,석천사거리역,I222,126.7107966,37.4567527,22,인천2호선,인천2
20232,모래내시장,모래내시장역 인천2호선,모래내시장역,I223,126.7196193,37.4558728,22,인천2호선,인천2
20233,만수,만수역 인천2호선,만수역,I224,126.7317828,37.4549676,22,인천2호선,인천2
20234,남동구청,남동구청역 인천2호선,남동구청역,I225,126.7366655,37.448176,22,인천2호선,인천2
20235,인천대공원,인천대공원역 인천2호선,인천대공원역,I226,126.7528261,37.4484981,22,인천2호선,인천2
20236,운연(서창),운연(서창)역 인천2호선,운연(서창)역,I227,126.7595937,37.4396638,22,인천2호선,인천2
